gameReferenceId,id,period,periodTime,gameTime,currentPossession,teamInPossession,currentPlayInPossession,isPossessionEvent,isDefensiveEvent,isPossessionBreaking,isLastPlayOfPossession,frame,timecode,shorthand,name,zone,type,outcome,flags,previousName,previousType,previousOutcome,xCoord,yCoord,xAdjCoord,yAdjCoord,scoreDifferential,manpowerSituation,teamSkatersOnIce,teamForwardsOnIceRefs,teamDefencemenOnIceRefs,teamGoalieOnIceRef,opposingTeamSkatersOnIce,opposingTeamForwardsOnIceRefs,opposingTeamDefencemenOnIceRefs,opposingTeamGoalieOnIceRef,team,playerJersey,playerPosition,playerFirstName,playerLastName,playerReferenceId,playZone,playSection,expectedGoalsOnNet,expectedGoalsAllShots
20104,753,1,806.6,806.6,108,"Linköping HC",1,true,false,false,true,59151,00:24:26:13,"OZPASS TO SLOT-",pass,oz,slot,failed,eastside,none,none,none,-28.865578,-27.914705,28.865578,27.914705,0,evenStrength,5,"	2609, 2692, 4097","	3264, 5008","	6438",5,"	2763, 5654, 6431","	3835, 5035","	2968","Linköping HC",4,LW,Oscar,Lawner,4097,oz,eastPoint,,
20104,754,1,807.36666666667,807.36666666667,108,"Linköping HC",2,false,true,true,false,59174,00:24:27:06,"BLOCK OPPOSITION PASS+",block,dz,pass,successful,,none,none,none,-64.56167,-15.33993,-64.56167,-15.33993,0,evenStrength,5,"	2763, 5654, 6431","	3835, 5035","	2968",5,"	2609, 2692, 4097","	3264, 5008","	6438","Brynäs Brynäs IF",36,C,Linus,Olund,2763,dz,eastOuterSlotDZ,,
20104,755,1,807.4,807.4,109,"Brynäs Brynäs IF",0,true,false,false,false,59175,00:24:27:07,"DEF LPR DZ",lpr,dz,none,successful,,block,pass,successful,-64.56167,-15.33993,-64.56167,-15.33993,0,evenStrength,5,"	2763, 5654, 6431","	3835, 5035","	2968",5,"	2609, 2692, 4097","	3264, 5008","	6438","Brynäs Brynäs IF",36,C,Linus,Olund,2763,dz,eastOuterSlotDZ,,
20104,756,1,807.43333333333,807.43333333333,109,"Brynäs Brynäs IF",1,false,false,false,false,59176,00:24:27:08,"FAILED PASS TRAJECTORY LOCATION OZ",failedpasslocation,oz,none,failed,,none,none,none,-79.662636,-9.3058815,79.662636,9.3058815,0,evenStrength,5,"	2609, 2692, 4097","	3264, 5008","	6438",5,"	2763, 5654, 6431","	3835, 5035","	2968","Linköping HC",4,LW,Oscar,Lawner,4097,oz,innerSlot,,
20104,757,1,808.1,808.1,109,"Brynäs Brynäs IF",2,true,false,false,false,59196,00:24:27:28,"DZ OUTLET PASS+",pass,dz,outlet,successful,westeast,none,none,none,-58.02313,-9.304359,-58.02313,-9.304359,0,evenStrength,5,"	2763, 5654, 6431","	3835, 5035","	2968",5,"	2609, 2692, 4097","	3264, 5008","	6438","Brynäs Brynäs IF",36,C,Linus,Olund,2763,dz,eastOuterSlotDZ,,
20104,758,1,809.3,809.3,109,"Brynäs Brynäs IF",3,true,false,false,false,59232,00:24:29:04,"N-ZONE PASS RECEPTION",reception,nz,regular,successful,,none,none,none,-18.791916,39.483177,-18.791916,39.483177,0,evenStrength,5,"	2763, 5654, 6431","	3835, 5035","	2968",5,"	2609, 2692, 4097","	3264, 5008","	6438","Brynäs Brynäs IF",8,RW,Bobby,Trivigno,6431,nz,southEastBoardsNZ,,
20104,759,1,810.36666666667,810.36666666667,109,"Brynäs Brynäs IF",4,true,false,false,false,59264,00:24:30:06,"CARRY OVER REDLINE",carry,nz,none,successful,,none,none,none,0.8236923,40.992073,0.8236923,40.992073,0,evenStrength,5,"	2763, 5654, 6431","	3835, 5035","	2968",5,"	2609, 2692, 4097","	3264, 5008","	6438","Brynäs Brynäs IF",8,RW,Bobby,Trivigno,6431,nz,northEastBoardsNZ,,
20104,760,1,810.46666666667,810.46666666667,109,"Brynäs Brynäs IF",5,true,false,false,false,59267,00:24:30:09,"DUMP IN+",dumpin,nz,dump,successful,"rim, eastofdot",none,none,none,6.8592606,40.489105,6.8592606,40.489105,0,evenStrength,5,"	2763, 5654, 6431","	3835, 5035","	2968",5,"	2609, 2692, 4097","	3264, 5008","	6438","Brynäs Brynäs IF",8,RW,Bobby,Trivigno,6431,nz,northEastBoardsNZ,,
20104,761,1,810.5,810.5,109,"Brynäs Brynäs IF",6,false,false,false,true,59268,00:24:30:10,"DUMPIN AGAINST",dumpinagainst,dz,none,undetermined,,none,none,none,16.90207,32.438232,-16.90207,-32.438232,0,evenStrength,5,"	2609, 2692, 4097","	3264, 5008","	6438",5,"	2763, 5654, 6431","	3835, 5035","	2968","Linköping HC",55,D,Arvid,Aronsson,3264,nz,southWestBoardsNZ,,
20104,762,1,812.13333333333,812.13333333333,110,"Linköping HC",0,true,false,false,false,59317,00:24:31:29,"DUMP IN LPR+",lpr,dz,opdump,successful,alongboards,none,none,none,97.37265,-2.2647057,-97.37265,2.2647057,0,evenStrength,5,"	2609, 2692, 4097","	3264, 5008","	6438",5,"	2763, 5654, 6431","	3835, 5035","	2968","Linköping HC",30,G,Christian,Heljanko,6438,dz,outsideNorthWestDZ,,
